,Artist,Album,Release Date
0,Girls Generation,FOREVER 1 - The 7th Album,2022-08-05
1,Girls Generation,Holiday Night - The 6th Album,2017-08-04
2,Girls Generation,Lion Heart - The 5th Album,2015-08-19
3,Girls Generation,2011 Girls' Generation Tour,2013-11-04
4,Girls Generation,I GOT A BOY - The 4th Album,2013-01-01
5,Girls Generation,'The Boys' Maxi Single,2011-12-21
6,Girls Generation,The Boys - The 3rd Album,2011-10-19
7,Girls Generation,Run Devil Run - The 2nd Album Repackage,2010-03-22
8,Girls Generation,Oh! - The Second Album,2010-01-28
9,Girls Generation,BABY BABY - Girls' Generation Repackage,2008-03-13
10,Girls Generation,Girls' Generation,2007-11-01
0,SHINEE,HARD - The 8th Album,2023-06-26
1,SHINEE,Atlantis - The 7th Album Repackage,2021-04-12
2,SHINEE,Don't Call Me - The 7th Album,2021-02-22
3,SHINEE,The Story of Light' Epilogue - The 6th Album,2018-09-10
4,SHINEE,SHINee THE BEST FROM NOW ON,2018-04-18
5,SHINEE,FIVE,2017-01-27
6,SHINEE,1 and 1 - The 5th Album Repackage,2016-11-15
7,SHINEE,1 of 1 - The 5th Album,2016-09-29
8,SHINEE,SHINee WORLD IV – The 4th Concert Album,2016-04-20
9,SHINEE,D×D×D,2015-12-29
10,SHINEE,Married To The Music - The 4th Album Repackage,2015-08-03
11,SHINEE,Odd - The 4th Album,2015-05-18
12,SHINEE,SHINee WORLD Ⅲ in SEOUL - THE 3rd CONCERT ALBUM,2014-12-11
13,SHINEE,I’m Your Boy,2014-09-24
14,SHINEE,Everybody - The 5th Mini Album,2013-10-14
15,SHINEE,SHINee The 3rd Album 'The Misconceptions Of Us',2013-08-08
16,SHINEE,Boys Meet U,2013-06-21
17,SHINEE,SHINee The 3rd Album Chapter 2. 'Why So Serious? - The Misconceptions Of Me',2013-04-26
18,SHINEE,SHINee The 3rd Album Chapter 1. 'Dream Girl - The Misconceptions Of You',2013-02-19
19,SHINEE,Sherlock - The 4th Mini Album,2012-03-21
20,SHINEE,SHINee World (The 1st Asia Tour Album),2012-02-01
21,SHINEE,THE FIRST,2011-12-02
22,SHINEE,Hello - SHINee The 2nd Album Repackage,2010-10-04
