,Artist,Song Name,Id,Release Date,Popularity,Genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,SHINEE,HARD,2VV1RIhTgeJ4PEMYz6TqDB,2023-06-26,74,"['k-pop', 'k-pop boy group']",0.781,0.8,2,-3.002,1,0.113,0.118,1.31e-06,0.0347,0.687,91.969,audio_features,2VV1RIhTgeJ4PEMYz6TqDB,spotify:track:2VV1RIhTgeJ4PEMYz6TqDB,https://api.spotify.com/v1/tracks/2VV1RIhTgeJ4PEMYz6TqDB,https://api.spotify.com/v1/audio-analysis/2VV1RIhTgeJ4PEMYz6TqDB,176720,4
0,Girls Generation,FOREVER 1,1oen3GpTcA486fTHaT7neg,2022-08-05,71,"['k-pop', 'k-pop girl group']",0.615,0.871,9,-1.248,1,0.0516,0.0427,0.0,0.254,0.297,123.915,audio_features,1oen3GpTcA486fTHaT7neg,spotify:track:1oen3GpTcA486fTHaT7neg,https://api.spotify.com/v1/tracks/1oen3GpTcA486fTHaT7neg,https://api.spotify.com/v1/audio-analysis/1oen3GpTcA486fTHaT7neg,202533,4
11,SHINEE,Replay,1rp986nzkyAX1wFpxzbwlC,2008-08-28,70,"['k-pop', 'k-pop boy group']",0.716,0.779,1,-2.203,1,0.0805,0.178,1.16e-06,0.167,0.59,99.977,audio_features,1rp986nzkyAX1wFpxzbwlC,spotify:track:1rp986nzkyAX1wFpxzbwlC,https://api.spotify.com/v1/tracks/1rp986nzkyAX1wFpxzbwlC,https://api.spotify.com/v1/audio-analysis/1rp986nzkyAX1wFpxzbwlC,213827,4
1,Girls Generation,Gee,0t7kjpVLgOYITrSfFCoBEA,2010-01-28,69,"['k-pop', 'k-pop girl group']",0.756,0.93,1,-1.082,0,0.0274,0.281,0.0,0.11,0.737,99.988,audio_features,0t7kjpVLgOYITrSfFCoBEA,spotify:track:0t7kjpVLgOYITrSfFCoBEA,https://api.spotify.com/v1/tracks/0t7kjpVLgOYITrSfFCoBEA,https://api.spotify.com/v1/audio-analysis/0t7kjpVLgOYITrSfFCoBEA,201160,4
13,SHINEE,JUICE,2ka8U0A2e93hBFA43mbgfy,2023-06-26,66,"['k-pop', 'k-pop boy group']",0.629,0.968,10,-2.183,0,0.141,0.0532,0.0,0.0449,0.761,170.049,audio_features,2ka8U0A2e93hBFA43mbgfy,spotify:track:2ka8U0A2e93hBFA43mbgfy,https://api.spotify.com/v1/tracks/2ka8U0A2e93hBFA43mbgfy,https://api.spotify.com/v1/audio-analysis/2ka8U0A2e93hBFA43mbgfy,197520,4
12,SHINEE,Ring Ding Dong,4vLqN0bIxIQjlet2mIMBnx,2009-10-19,66,"['k-pop', 'k-pop boy group']",0.835,0.934,1,-1.258,1,0.0431,0.125,0.000501,0.222,0.811,124.98,audio_features,4vLqN0bIxIQjlet2mIMBnx,spotify:track:4vLqN0bIxIQjlet2mIMBnx,https://api.spotify.com/v1/tracks/4vLqN0bIxIQjlet2mIMBnx,https://api.spotify.com/v1/audio-analysis/4vLqN0bIxIQjlet2mIMBnx,233280,4
2,Girls Generation,Into the New World,1RTW9UthqmZwr8Od6CH4i8,2007-11-01,65,"['k-pop', 'k-pop girl group']",0.708,0.892,4,-1.964,0,0.0349,0.0706,0.0,0.114,0.623,108.031,audio_features,1RTW9UthqmZwr8Od6CH4i8,spotify:track:1RTW9UthqmZwr8Od6CH4i8,https://api.spotify.com/v1/tracks/1RTW9UthqmZwr8Od6CH4i8,https://api.spotify.com/v1/audio-analysis/1RTW9UthqmZwr8Od6CH4i8,265760,4
14,SHINEE,View,46E1ic6n099e76t5J1TbHn,2015-05-18,65,"['k-pop', 'k-pop boy group']",0.728,0.801,6,-4.428,0,0.0439,0.04,0.0,0.0415,0.656,123.953,audio_features,46E1ic6n099e76t5J1TbHn,spotify:track:46E1ic6n099e76t5J1TbHn,https://api.spotify.com/v1/tracks/46E1ic6n099e76t5J1TbHn,https://api.spotify.com/v1/audio-analysis/46E1ic6n099e76t5J1TbHn,190821,4
15,SHINEE,Don't Call Me,462OPOKW0VMbvW9H7HIb0U,2021-02-22,64,"['k-pop', 'k-pop boy group']",0.69,0.783,2,-2.076,1,0.0641,0.0127,0.0,0.0962,0.306,82.026,audio_features,462OPOKW0VMbvW9H7HIb0U,spotify:track:462OPOKW0VMbvW9H7HIb0U,https://api.spotify.com/v1/tracks/462OPOKW0VMbvW9H7HIb0U,https://api.spotify.com/v1/audio-analysis/462OPOKW0VMbvW9H7HIb0U,220173,4
20,Super Junior,"쏘리 쏘리 Sorry, Sorry",5w18nowVMRZrC5Na9Vxoth,2009-03-11,64,"['k-pop', 'k-pop boy group']",0.706,0.972,11,-2.359,0,0.0352,0.0226,2.57e-06,0.267,0.962,129.946,audio_features,5w18nowVMRZrC5Na9Vxoth,spotify:track:5w18nowVMRZrC5Na9Vxoth,https://api.spotify.com/v1/tracks/5w18nowVMRZrC5Na9Vxoth,https://api.spotify.com/v1/audio-analysis/5w18nowVMRZrC5Na9Vxoth,232333,4
