,Artist,Song Name,Id,Release Date,Popularity,Genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
40,BTS,Take Two,5IAESfJjmOYu7cHyX557kz,2023-06-09,95,"['k-pop', 'k-pop boy group', 'pop']",0.617,0.589,7,-5.978,1,0.0345,0.0268,0.0,0.378,0.566,92.991,audio_features,5IAESfJjmOYu7cHyX557kz,spotify:track:5IAESfJjmOYu7cHyX557kz,https://api.spotify.com/v1/tracks/5IAESfJjmOYu7cHyX557kz,https://api.spotify.com/v1/audio-analysis/5IAESfJjmOYu7cHyX557kz,229953,4
50,SEVENTEEN,Super,3AOf6YEpxQ894FmrwI9k96,2023-04-24,88,"['k-pop', 'k-pop boy group']",0.771,0.88,8,-4.091,1,0.0857,0.162,1.41e-06,0.167,0.347,137.018,audio_features,3AOf6YEpxQ894FmrwI9k96,spotify:track:3AOf6YEpxQ894FmrwI9k96,https://api.spotify.com/v1/tracks/3AOf6YEpxQ894FmrwI9k96,https://api.spotify.com/v1/audio-analysis/3AOf6YEpxQ894FmrwI9k96,200387,4
41,BTS,Left and Right (Feat. Jung Kook of BTS),5Odq8ohlgIbQKMZivbWkEo,2022-10-06,88,"['k-pop', 'k-pop boy group', 'pop']",0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,audio_features,5Odq8ohlgIbQKMZivbWkEo,spotify:track:5Odq8ohlgIbQKMZivbWkEo,https://api.spotify.com/v1/tracks/5Odq8ohlgIbQKMZivbWkEo,https://api.spotify.com/v1/audio-analysis/5Odq8ohlgIbQKMZivbWkEo,154487,4
43,BTS,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],1RDvyOk4WtPCtoqciJwVn8,2022-11-20,87,"['k-pop', 'k-pop boy group', 'pop']",0.71,0.879,0,-4.218,1,0.0422,0.158,0.00142,0.439,0.341,114.993,audio_features,1RDvyOk4WtPCtoqciJwVn8,spotify:track:1RDvyOk4WtPCtoqciJwVn8,https://api.spotify.com/v1/tracks/1RDvyOk4WtPCtoqciJwVn8,https://api.spotify.com/v1/audio-analysis/1RDvyOk4WtPCtoqciJwVn8,201391,4
44,BTS,The Planet,4IJsVXbSeGPUrgwpVoHmlg,2023-05-12,86,"['k-pop', 'k-pop boy group', 'pop']",0.665,0.848,0,-3.619,1,0.0708,0.000482,0.0,0.2,0.687,119.986,audio_features,4IJsVXbSeGPUrgwpVoHmlg,spotify:track:4IJsVXbSeGPUrgwpVoHmlg,https://api.spotify.com/v1/tracks/4IJsVXbSeGPUrgwpVoHmlg,https://api.spotify.com/v1/audio-analysis/4IJsVXbSeGPUrgwpVoHmlg,178156,4
46,BTS,Run BTS,69xohKu8C1fsflYAiSNbwM,2022-06-10,85,"['k-pop', 'k-pop boy group', 'pop']",0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,0.696,77.004,audio_features,69xohKu8C1fsflYAiSNbwM,spotify:track:69xohKu8C1fsflYAiSNbwM,https://api.spotify.com/v1/tracks/69xohKu8C1fsflYAiSNbwM,https://api.spotify.com/v1/audio-analysis/69xohKu8C1fsflYAiSNbwM,204940,4
42,BTS,My Universe,46HNZY1i7O6jwTA7Slo2PI,2021-10-15,85,"['k-pop', 'k-pop boy group', 'pop']",0.573,0.711,1,-6.268,0,0.0406,0.0114,0.0,0.328,0.47,105.006,audio_features,46HNZY1i7O6jwTA7Slo2PI,spotify:track:46HNZY1i7O6jwTA7Slo2PI,https://api.spotify.com/v1/tracks/46HNZY1i7O6jwTA7Slo2PI,https://api.spotify.com/v1/audio-analysis/46HNZY1i7O6jwTA7Slo2PI,226198,4
45,BTS,Dynamite,5QDLhrAOJJdNAmCTJ8xMyW,2020-11-20,85,"['k-pop', 'k-pop boy group', 'pop']",0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,audio_features,5QDLhrAOJJdNAmCTJ8xMyW,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,https://api.spotify.com/v1/tracks/5QDLhrAOJJdNAmCTJ8xMyW,https://api.spotify.com/v1/audio-analysis/5QDLhrAOJJdNAmCTJ8xMyW,199054,4
47,BTS,Butter,6jjYDGxVJsWS0a5wlVF5vS,2022-06-10,81,"['k-pop', 'k-pop boy group', 'pop']",0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0788,0.695,109.997,audio_features,6jjYDGxVJsWS0a5wlVF5vS,spotify:track:6jjYDGxVJsWS0a5wlVF5vS,https://api.spotify.com/v1/tracks/6jjYDGxVJsWS0a5wlVF5vS,https://api.spotify.com/v1/audio-analysis/6jjYDGxVJsWS0a5wlVF5vS,164952,4
48,BTS,FAKE LOVE,6m1TWFMeon7ai9XLOzdbiR,2018-05-18,81,"['k-pop', 'k-pop boy group', 'pop']",0.557,0.719,2,-4.515,0,0.0371,0.00267,0.0,0.306,0.345,77.502,audio_features,6m1TWFMeon7ai9XLOzdbiR,spotify:track:6m1TWFMeon7ai9XLOzdbiR,https://api.spotify.com/v1/tracks/6m1TWFMeon7ai9XLOzdbiR,https://api.spotify.com/v1/audio-analysis/6m1TWFMeon7ai9XLOzdbiR,242334,4
